Model,T,Precision Mean,Recall Mean,F-measure Mean,AUC Mean,G-mean Mean,Precision STD,Recall STD,F-measure STD,AUC STD,G-mean STD
HDDT,11,0.9940116523964333,0.7329596412556054,0.8435499036619774,0.837473841554559,0.8265948156152285,0.003662435932149865,0.021091731731155014,0.012924461885447259,0.016012221947478127,0.012209936400546042
HDDT,31,0.9920595495638119,0.7468609865470853,0.8520003282113244,0.8486210762331838,0.8236522318133618,0.005572483395693711,0.019089923637877385,0.011644404310224453,0.020985180629245995,0.02515701628433055
HDDT,51,0.994587081330544,0.7367713004484305,0.8464323853493481,0.8520926756352765,0.8319466740855674,0.0034641021707990226,0.010136909915208363,0.00617944436980369,0.01651231082698791,0.015295072760785098
HDDT,101,0.9949412883550334,0.7403587443946188,0.8487929943412347,0.8501457399103141,0.8353730675270838,0.002596812499389024,0.0203974267543393,0.012650617171269559,0.0076960148292376015,0.00769171080538969
Decision Stump,11,0.9987012471685519,0.692152466367713,0.817428854467992,0.8403363228699551,0.8262657065842459,0.0015917632811971387,0.022601297241809103,0.01594307732975509,0.01624095348476671,0.015877569713177126
Decision Stump,31,0.9993528926741189,0.6919282511210761,0.8175019626155615,0.8401121076233183,0.8289208989544996,0.001296644914449683,0.021950203139946934,0.015299421582784512,0.01412735177386994,0.014126581922858341
Decision Stump,51,0.9977690782044644,0.6973094170403588,0.8208310717221373,0.8317077727952167,0.82511777878935,0.002493563099814479,0.013527446752464912,0.009243059243465567,0.015311813433284627,0.0123389840676609
Decision Stump,101,0.9996721311475409,0.692152466367713,0.8176711959732005,0.8423505231689088,0.8304140776697153,0.0009836065573770368,0.026530453219239546,0.018816062347180113,0.015742685699946316,0.017113682919909785
