Method,Accuracy Mean,AUROC Mean,AUPR Mean,G-mean Mean,Accuracy STD,AUROC STD,AUPR STD,G-mean STD
AdaBoost + SMOTE,0.8672240781594706,0.8740827977066183,0.5773976942777151,0.8696091164169253,0.010189898516139948,0.012930314033469663,0.024479400564635784,0.01144694460396458
Baseline (AdaBoost),0.9049073718591524,0.9389129130308785,0.8199584084907263,0.8372237926173152,0.008255507596112484,0.00995361339343216,0.02408949874265708,0.01780451120216223
